latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-6.5729346,106.775826,247.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_28_to_100cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_100cm_mean (°C),soil_temperature_0_to_7cm_mean (°C),soil_temperature_28_to_100cm_mean (°C),soil_temperature_7_to_28cm_mean (°C),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),pressure_msl_mean (hPa),dew_point_2m_mean (°C)
1980-01-01,63,24.3,28.5,21.8,25.5,28.4,34.2,1980-01-01T05:41,1980-01-01T18:10,44987.96,29948.44,8.00,8.00,0.00,5.0,98,100,95,0.471,0.482,0.470,0.469,25.9,25.6,25.9,25.9,89,98,73,981.3,1009.5,22.2
1980-01-02,63,23.7,26.2,21.8,25.7,27.8,30.3,1980-01-02T05:41,1980-01-02T18:11,44982.64,20560.59,11.20,11.20,0.00,11.0,99,100,90,0.472,0.485,0.466,0.490,25.7,24.8,25.9,25.4,91,98,80,981.0,1009.2,22.1
1980-01-03,63,23.9,26.9,21.8,25.8,28.2,31.7,1980-01-03T05:42,1980-01-03T18:11,44976.83,24816.36,13.10,13.10,0.00,10.0,100,100,99,0.475,0.481,0.468,0.497,25.6,25.0,25.8,25.2,90,98,77,981.4,1009.6,22.1
1980-01-04,63,24.0,28.6,21.3,25.2,28.6,34.7,1980-01-04T05:42,1980-01-04T18:12,44970.53,35982.52,12.50,12.50,0.00,12.0,99,100,94,0.478,0.464,0.476,0.488,25.6,25.5,25.7,25.3,91,100,71,981.8,1010.0,22.3
1980-01-05,63,24.2,28.8,21.4,24.9,28.4,34.6,1980-01-05T05:43,1980-01-05T18:12,44963.66,35736.84,9.30,9.30,0.00,5.0,100,100,96,0.481,0.464,0.479,0.494,25.7,25.5,25.7,25.5,89,99,69,981.2,1009.4,22.2
1980-01-06,63,24.6,28.8,22.0,25.8,28.7,34.3,1980-01-06T05:43,1980-01-06T18:12,44956.21,37350.01,4.10,4.10,0.00,5.0,98,100,91,0.480,0.454,0.484,0.473,25.7,25.7,25.7,25.6,88,97,72,981.9,1010.1,22.3
1980-01-07,61,23.8,26.3,22.5,26.4,27.9,30.8,1980-01-07T05:44,1980-01-07T18:13,44948.20,13529.97,8.30,8.30,0.00,17.0,100,100,93,0.480,0.494,0.480,0.478,25.6,24.9,25.7,25.4,92,97,84,982.2,1010.4,22.4
1980-01-08,61,23.9,26.9,22.4,26.6,28.3,31.2,1980-01-08T05:44,1980-01-08T18:13,44939.64,18257.36,12.30,12.30,0.00,23.0,100,100,99,0.487,0.505,0.480,0.505,25.5,24.9,25.7,25.1,92,98,79,982.5,1010.7,22.4
1980-01-09,63,24.4,28.2,21.8,25.8,28.9,33.8,1980-01-09T05:45,1980-01-09T18:13,44930.57,42255.92,6.40,6.40,0.00,13.0,99,100,91,0.487,0.486,0.485,0.494,25.6,25.7,25.6,25.4,88,99,71,982.4,1010.6,22.1
1980-01-10,63,24.1,28.6,21.2,25.0,28.5,34.1,1980-01-10T05:45,1980-01-10T18:14,44920.98,36107.85,12.70,12.70,0.00,14.0,98,100,92,0.486,0.497,0.483,0.490,25.6,25.6,25.6,25.6,90,99,70,982.0,1010.2,22.2
1980-01-11,63,24.4,29.0,22.2,26.0,28.8,34.8,1980-01-11T05:46,1980-01-11T18:14,44910.91,26249.05,4.80,4.80,0.00,3.0,98,100,93,0.486,0.456,0.489,0.486,25.7,25.7,25.7,25.7,90,97,71,981.7,1009.8,22.5
1980-01-12,63,24.2,28.8,21.1,24.9,28.8,35.0,1980-01-12T05:46,1980-01-12T18:14,44900.38,38804.97,10.80,10.80,0.00,10.0,92,100,44,0.487,0.477,0.488,0.487,25.7,25.8,25.7,25.7,90,98,73,982.8,1011.1,22.3
1980-01-13,53,24.6,28.1,22.0,26.4,29.2,33.0,1980-01-13T05:47,1980-01-13T18:15,44889.39,17629.55,2.00,2.00,0.00,10.0,98,100,89,0.490,0.489,0.489,0.493,25.7,25.5,25.7,25.6,88,99,72,983.2,1011.4,22.4
1980-01-14,63,24.5,29.0,22.0,26.3,29.3,34.4,1980-01-14T05:47,1980-01-14T18:15,44877.96,25115.59,8.00,8.00,0.00,10.0,99,100,96,0.488,0.474,0.489,0.491,25.7,25.8,25.7,25.8,89,99,71,984.4,1012.6,22.5
1980-01-15,63,24.7,29.7,22.1,26.5,29.9,36.9,1980-01-15T05:48,1980-01-15T18:15,44866.14,36801.88,18.10,18.10,0.00,9.0,89,100,39,0.490,0.460,0.494,0.488,25.8,26.3,25.7,25.9,91,99,70,983.8,1012.0,22.9
1980-01-16,61,23.9,27.6,22.1,26.6,28.6,32.6,1980-01-16T05:48,1980-01-16T18:16,44853.91,27455.74,7.80,7.80,0.00,13.0,98,100,88,0.496,0.468,0.499,0.494,25.8,25.6,25.8,25.9,92,100,76,983.0,1011.2,22.4
1980-01-17,63,23.5,26.4,21.7,25.9,28.1,30.8,1980-01-17T05:49,1980-01-17T18:16,44841.30,16535.76,12.50,12.50,0.00,13.0,99,100,94,0.500,0.468,0.506,0.488,25.7,25.1,25.8,25.5,93,99,79,983.4,1011.7,22.3
1980-01-18,53,24.0,28.6,21.3,25.3,28.6,34.0,1980-01-18T05:49,1980-01-18T18:16,44828.35,31434.18,3.00,3.00,0.00,8.0,100,100,97,0.502,0.490,0.505,0.495,25.6,25.4,25.7,25.4,91,100,73,983.9,1012.2,22.3
1980-01-19,53,23.9,26.9,21.3,25.4,28.3,31.9,1980-01-19T05:49,1980-01-19T18:16,44815.05,23950.66,1.90,1.90,0.00,8.0,100,100,99,0.499,0.492,0.503,0.490,25.6,25.1,25.7,25.3,90,100,79,983.9,1012.1,22.1
1980-01-20,61,23.4,25.8,22.3,26.1,27.7,30.6,1980-01-20T05:50,1980-01-20T18:17,44801.43,2582.15,14.60,14.60,0.00,21.0,100,100,99,0.501,0.486,0.505,0.492,25.4,24.4,25.6,25.0,95,98,89,982.9,1011.2,22.5
1980-01-21,61,23.6,25.6,22.0,25.8,27.6,29.5,1980-01-21T05:50,1980-01-21T18:17,44787.50,11178.77,11.90,11.90,0.00,23.0,100,100,98,0.507,0.500,0.512,0.492,25.3,24.4,25.6,24.7,92,97,82,982.4,1010.7,22.1
1980-01-22,55,23.4,25.6,22.0,26.3,28.0,31.1,1980-01-22T05:51,1980-01-22T18:17,44773.29,12923.54,10.20,10.20,0.00,22.0,100,100,100,0.501,0.466,0.512,0.472,25.2,24.4,25.5,24.7,95,99,88,981.8,1010.1,22.6
1980-01-23,61,23.4,26.4,21.7,25.7,27.8,31.9,1980-01-23T05:51,1980-01-23T18:17,44758.81,26670.41,11.70,11.70,0.00,23.0,100,100,98,0.494,0.489,0.505,0.461,25.2,24.7,25.4,24.8,93,99,80,982.1,1010.4,22.1
1980-01-24,53,23.9,27.4,21.6,25.8,28.2,33.1,1980-01-24T05:51,1980-01-24T18:17,44744.08,36412.20,2.60,2.60,0.00,12.0,94,100,64,0.490,0.487,0.496,0.473,25.3,25.1,25.4,25.0,89,99,74,981.9,1010.1,21.8
1980-01-25,55,24.3,27.7,22.0,26.5,28.8,33.0,1980-01-25T05:52,1980-01-25T18:17,44728.94,37109.38,4.10,4.10,0.00,10.0,99,100,90,0.484,0.481,0.488,0.473,25.3,25.4,25.4,25.2,89,98,78,981.4,1009.6,22.3
1980-01-26,61,23.2,25.1,22.1,26.1,27.3,29.3,1980-01-26T05:52,1980-01-26T18:17,44713.36,7637.66,14.40,14.40,0.00,22.0,96,100,72,0.485,0.494,0.483,0.490,25.2,24.3,25.4,25.0,94,99,86,980.6,1008.9,22.2
1980-01-27,55,24.4,27.9,22.1,25.4,28.6,32.6,1980-01-27T05:52,1980-01-27T18:17,44697.36,31276.39,9.40,9.40,0.00,18.0,96,100,64,0.490,0.467,0.493,0.487,25.2,25.3,25.3,24.9,87,98,69,981.2,1009.3,22.0
1980-01-28,61,24.7,29.6,20.5,23.9,29.0,35.5,1980-01-28T05:53,1980-01-28T18:17,44680.95,43200.00,2.50,2.50,0.00,5.0,89,100,65,0.486,0.478,0.489,0.477,25.4,25.8,25.3,25.4,85,98,66,980.8,1008.9,21.9
1980-01-29,55,24.1,27.9,21.5,24.7,27.6,31.5,1980-01-29T05:53,1980-01-29T18:18,44664.18,31444.55,5.50,5.50,0.00,15.0,98,100,87,0.481,0.487,0.482,0.476,25.4,25.3,25.4,25.5,88,98,70,980.3,1008.5,21.8
1980-01-30,55,23.9,26.5,22.2,25.9,27.5,29.8,1980-01-30T05:53,1980-01-30T18:18,44647.06,19546.88,9.70,9.70,0.00,20.0,100,100,99,0.484,0.484,0.482,0.489,25.3,24.9,25.4,25.2,91,98,76,980.5,1008.6,22.2
1980-01-31,61,24.1,26.9,22.4,26.4,28.0,30.8,1980-01-31T05:54,1980-01-31T18:18,44629.62,23677.31,7.60,7.60,0.00,14.0,100,100,100,0.486,0.479,0.486,0.490,25.3,25.0,25.4,25.1,90,97,78,981.2,1009.4,22.2
1980-02-01,63,24.1,28.5,21.8,25.6,28.6,35.2,1980-02-01T05:54,1980-02-01T18:18,44611.88,39367.91,13.00,13.00,0.00,11.0,96,100,78,0.488,0.477,0.487,0.494,25.3,25.5,25.4,25.3,90,98,75,982.5,1010.8,22.3
1980-02-02,61,24.2,28.3,22.0,26.6,29.0,34.2,1980-02-02T05:54,1980-02-02T18:18,44593.86,25643.81,4.90,4.90,0.00,13.0,100,100,99,0.490,0.470,0.492,0.489,25.4,25.5,25.4,25.4,91,100,75,983.9,1012.2,22.5
1980-02-03,55,25.0,29.5,21.4,25.2,29.4,35.6,1980-02-03T05:55,1980-02-03T18:18,44575.59,37733.64,2.20,2.20,0.00,7.0,93,100,67,0.486,0.475,0.488,0.484,25.5,26.1,25.4,25.7,84,100,67,983.7,1011.9,22.1
1980-02-04,55,25.0,29.1,20.5,24.1,29.4,34.0,1980-02-04T05:55,1980-02-04T18:18,44557.08,37103.30,1.40,1.40,0.00,2.0,95,100,68,0.480,0.475,0.483,0.475,25.6,25.9,25.5,25.9,83,100,62,982.9,1011.0,21.8
1980-02-05,53,24.5,28.6,21.5,25.5,28.8,33.5,1980-02-05T05:55,1980-02-05T18:17,44538.37,35487.46,2.50,2.50,0.00,6.0,93,100,53,0.476,0.479,0.477,0.471,25.6,25.7,25.5,25.7,87,99,64,982.8,1010.9,22.0
1980-02-06,65,23.6,26.6,20.9,24.5,27.7,30.3,1980-02-06T05:55,1980-02-06T18:17,44519.47,34765.11,17.00,17.00,0.00,11.0,85,100,46,0.479,0.483,0.477,0.485,25.5,24.9,25.6,25.4,90,99,78,982.9,1011.2,21.8
1980-02-07,63,24.6,29.6,20.9,24.5,29.3,35.3,1980-02-07T05:56,1980-02-07T18:17,44500.41,34154.23,6.40,6.40,0.00,7.0,96,100,85,0.481,0.467,0.481,0.487,25.5,25.8,25.5,25.4,87,100,62,982.7,1010.9,22.1
1980-02-08,55,24.2,28.5,20.5,23.9,28.5,34.7,1980-02-08T05:56,1980-02-08T18:17,44481.20,42627.91,3.90,3.90,0.00,9.0,73,100,26,0.479,0.457,0.482,0.477,25.6,25.6,25.5,25.6,87,100,71,982.2,1010.4,21.8
1980-02-09,63,23.1,26.2,21.2,25.0,27.2,30.1,1980-02-09T05:56,1980-02-09T18:17,44461.87,23276.87,26.90,26.90,0.00,21.0,97,100,82,0.483,0.470,0.483,0.485,25.4,24.7,25.6,25.3,92,98,78,982.8,1011.2,21.7
1980-02-10,53,23.9,26.8,21.0,24.5,27.7,31.1,1980-02-10T05:56,1980-02-10T18:17,44442.44,41395.51,3.00,3.00,0.00,12.0,72,100,44,0.491,0.485,0.493,0.486,25.4,25.2,25.5,25.2,85,98,71,983.4,1011.6,21.1
1980-02-11,53,24.3,28.0,22.0,26.3,28.9,34.0,1980-02-11T05:56,1980-02-11T18:17,44422.93,41157.02,3.50,3.50,0.00,13.0,86,100,38,0.487,0.484,0.489,0.481,25.6,26.0,25.5,25.6,89,98,76,983.4,1011.6,22.3
1980-02-12,55,24.2,27.6,21.3,25.2,28.4,33.2,1980-02-12T05:57,1980-02-12T18:17,44403.35,43166.71,3.90,3.90,0.00,11.0,88,99,77,0.485,0.492,0.485,0.482,25.6,25.6,25.5,25.7,88,98,74,983.1,1011.4,21.9
1980-02-13,63,24.1,28.1,21.5,25.4,28.5,34.1,1980-02-13T05:57,1980-02-13T18:17,44383.73,40933.38,8.30,8.30,0.00,9.0,81,99,32,0.484,0.480,0.483,0.488,25.6,25.6,25.6,25.6,88,98,77,982.7,1010.9,22.0
1980-02-14,61,24.1,27.6,21.0,24.8,28.6,33.1,1980-02-14T05:57,1980-02-14T18:16,44363.89,43147.83,5.30,5.30,0.00,13.0,67,100,24,0.487,0.472,0.488,0.491,25.6,25.6,25.6,25.6,89,99,76,982.9,1011.1,22.1
1980-02-15,61,24.3,28.0,21.6,25.9,29.1,34.7,1980-02-15T05:57,1980-02-15T18:16,44343.80,38568.54,8.10,8.10,0.00,10.0,88,100,34,0.487,0.474,0.489,0.487,25.6,25.7,25.6,25.7,90,99,77,982.7,1010.9,22.5
1980-02-16,63,23.7,28.2,21.2,24.8,28.0,33.1,1980-02-16T05:57,1980-02-16T18:16,44323.45,33831.48,15.50,15.50,0.00,10.0,95,100,64,0.491,0.478,0.491,0.494,25.6,25.4,25.6,25.6,92,99,72,982.7,1011.0,22.1
1980-02-17,61,24.5,29.1,20.9,24.3,28.9,34.9,1980-02-17T05:57,1980-02-17T18:16,44302.89,43125.58,3.60,3.60,0.00,7.0,69,98,12,0.494,0.471,0.499,0.483,25.6,25.8,25.6,25.6,87,99,68,982.8,1011.0,22.1
1980-02-18,63,24.2,29.4,20.9,24.4,28.6,35.6,1980-02-18T05:57,1980-02-18T18:15,44282.12,34591.65,7.20,7.20,0.00,8.0,84,100,6,0.493,0.478,0.496,0.486,25.6,25.7,25.6,25.7,89,100,68,983.1,1011.3,22.2
1980-02-19,51,24.2,27.7,22.0,26.1,28.7,32.3,1980-02-19T05:58,1980-02-19T18:15,44261.16,14190.95,2.80,2.80,0.00,13.0,92,100,43,0.494,0.488,0.494,0.495,25.6,25.2,25.6,25.5,90,99,75,982.9,1011.1,22.5
1980-02-20,53,24.7,29.0,21.7,25.7,29.4,34.8,1980-02-20T05:58,1980-02-20T18:15,44240.05,43109.97,4.90,4.90,0.00,15.0,65,96,40,0.491,0.491,0.491,0.491,25.6,25.9,25.6,25.6,87,99,71,983.2,1011.3,22.4
1980-02-21,63,24.1,27.9,22.2,26.6,28.8,33.3,1980-02-21T05:58,1980-02-21T18:15,44218.80,28472.28,14.80,14.80,0.00,18.0,98,100,85,0.492,0.479,0.493,0.491,25.7,25.7,25.6,25.8,92,100,77,983.8,1012.0,22.7
1980-02-22,61,24.2,26.8,22.4,26.7,28.8,31.4,1980-02-22T05:58,1980-02-22T18:14,44197.43,7538.82,15.10,15.10,0.00,23.0,100,100,99,0.499,0.507,0.498,0.498,25.6,25.1,25.6,25.4,91,98,77,983.9,1012.1,22.5
1980-02-23,61,23.5,25.3,22.2,26.7,28.6,30.2,1980-02-23T05:58,1980-02-23T18:14,44175.95,4089.85,10.20,10.20,0.00,19.0,98,100,93,0.503,0.486,0.507,0.494,25.4,24.6,25.6,25.1,96,100,90,983.4,1011.6,22.9
1980-02-24,61,24.7,28.7,22.2,26.5,29.8,34.9,1980-02-24T05:58,1980-02-24T18:14,44154.39,26491.28,10.00,10.00,0.00,13.0,97,100,88,0.501,0.481,0.508,0.483,25.5,25.8,25.5,25.3,90,100,71,982.9,1011.0,22.9
1980-02-25,63,24.6,29.1,21.8,25.6,29.4,35.9,1980-02-25T05:58,1980-02-25T18:13,44132.77,28809.97,13.80,13.80,0.00,15.0,99,100,95,0.499,0.472,0.507,0.481,25.6,25.8,25.6,25.8,89,99,71,982.3,1010.5,22.6
1980-02-26,63,25.1,30.1,21.8,25.8,29.8,35.6,1980-02-26T05:58,1980-02-26T18:13,44111.09,22403.55,5.20,5.20,0.00,5.0,99,100,92,0.498,0.476,0.503,0.489,25.6,25.9,25.6,25.7,87,98,67,981.2,1009.3,22.6
1980-02-27,63,24.8,29.2,22.1,26.4,29.8,35.8,1980-02-27T05:58,1980-02-27T18:13,44089.40,23237.60,11.10,11.10,0.00,8.0,97,100,76,0.497,0.472,0.501,0.492,25.7,26.1,25.6,26.0,89,99,70,980.5,1008.5,22.7
1980-02-28,63,24.3,27.5,22.5,27.0,29.2,32.9,1980-02-28T05:58,1980-02-28T18:12,44067.69,40478.12,12.20,12.20,0.00,14.0,97,100,84,0.497,0.453,0.504,0.487,25.7,25.9,25.7,25.9,92,100,78,981.5,1009.6,22.8
1980-02-29,63,24.7,29.9,21.6,25.5,29.9,37.1,1980-02-29T05:58,1980-02-29T18:12,44046.00,26116.52,9.70,9.70,0.00,5.0,99,100,91,0.499,0.468,0.505,0.489,25.8,26.2,25.7,26.0,90,100,73,982.6,1010.8,22.9
1980-03-01,63,25.0,29.8,22.0,26.2,30.3,36.9,1980-03-01T05:58,1980-03-01T18:12,44024.33,32660.19,6.20,6.20,0.00,7.0,99,100,94,0.500,0.461,0.506,0.492,25.9,26.4,25.7,26.2,89,100,70,982.4,1010.5,23.0
1980-03-02,63,25.2,29.5,23.1,28.1,30.2,35.3,1980-03-02T05:58,1980-03-02T18:11,44002.70,41178.65,8.10,8.10,0.00,10.0,83,100,33,0.499,0.457,0.506,0.487,25.9,26.3,25.8,26.2,88,99,72,982.2,1010.3,23.0
1980-03-03,63,25.0,29.7,22.3,26.6,30.3,37.2,1980-03-03T05:58,1980-03-03T18:11,43981.14,34735.24,13.10,13.10,0.00,8.0,98,100,89,0.499,0.464,0.506,0.489,26.0,26.5,25.8,26.3,90,99,72,983.3,1011.5,23.1
1980-03-04,65,24.5,29.1,21.6,25.3,29.6,35.6,1980-03-04T05:58,1980-03-04T18:10,43959.64,34158.48,34.20,34.20,0.00,9.0,89,100,18,0.502,0.469,0.510,0.486,26.1,26.6,25.9,26.4,92,100,74,983.6,1011.8,23.0
1980-03-05,63,25.1,30.3,21.4,25.4,30.3,37.8,1980-03-05T05:58,1980-03-05T18:10,43938.08,33912.80,6.70,6.70,0.00,5.0,96,100,74,0.492,0.455,0.507,0.453,26.1,26.8,26.0,26.5,87,100,65,982.1,1010.2,22.6
1980-03-06,61,24.6,28.3,22.2,26.4,29.5,34.6,1980-03-06T05:58,1980-03-06T18:10,43916.38,42507.34,7.00,7.00,0.00,9.0,78,100,36,0.488,0.491,0.495,0.466,26.1,26.4,26.0,26.4,90,99,75,981.9,1010.1,22.8
1980-03-07,63,24.5,29.5,21.4,25.3,29.3,35.9,1980-03-07T05:58,1980-03-07T18:09,43894.56,34501.41,10.80,10.80,0.00,7.0,85,100,25,0.484,0.483,0.484,0.484,26.1,26.3,26.0,26.3,90,100,68,981.6,1009.7,22.5
1980-03-08,63,24.1,28.9,21.7,25.9,28.8,35.1,1980-03-08T05:58,1980-03-08T18:09,43872.64,27201.87,15.00,15.00,0.00,9.0,96,100,83,0.484,0.471,0.482,0.494,26.1,26.0,26.1,26.1,91,100,74,981.7,1009.8,22.5
